"Client","Beneficiary Name","Transaction #","Bank Confirmaton ID","Transaction ID","Destination Currency","Destination Amount","Local Conversion Currency","Batch","Status","USD Value","Uploaded Date","Stage_2_Approved","Compliance Cleared","PG_PROCESSING","MANUAL_PG","SENT_TO_BANK","Error-Sub Status","Error Description","Paid","Returned","Cancelled"
"Aseem Label","USA Tin","GBPSWAMIINTO14","PY10119046","","GBP","200.00","GBP","GBP-All.xlsx","Error",262.76,"27/07/2017 10:44:16","27/07/2017 10:44:42","27/07/2017 10:53:32","27/07/2017 10:53:32","","","PG ERROR","beneficiary_create_failed, BIC/SWIFT is missing : ","","",""
"Aseem Label","USA Tin","GBPSWAMIINTO4","PY10119036","","GBP","200.00","GBP","GBP-All.xlsx","Error",262.76,"27/07/2017 10:44:15","27/07/2017 10:44:42","27/07/2017 10:53:11","27/07/2017 10:53:11","","","PG ERROR","beneficiary_create_failed, BIC/SWIFT is missing : ","","",""
"Aseem Label","USA Tin","GBPSWAMIINTO1","PY10119033","","GBP","200.00","GBP","GBP-All.xlsx","Error",262.76,"27/07/2017 10:44:15","27/07/2017 10:44:42","27/07/2017 10:47:16","27/07/2017 10:47:16","","","PG ERROR","beneficiary_create_failed, BIC/SWIFT is missing : ","","",""
"Aseem Label","USA Tin","4SWAMIINTO3","PY10119021","","EUR","200.00","EUR","EUR-All.xlsx","Error",234.54,"27/07/2017 10:27:44","27/07/2017 10:28:00","27/07/2017 10:38:49","27/07/2017 10:38:49","","","PG ERROR","beneficiary_create_failed, Account number is missing : BIC/SWIFT is in invalid format : ","","",""
"Aseem Label","USA Tin","4SWAMIINTO4","PY10119022","","EUR","200.00","EUR","EUR-All.xlsx","Error",234.54,"27/07/2017 10:27:44","27/07/2017 10:28:00","27/07/2017 10:38:32","27/07/2017 10:38:32","","","PG ERROR","beneficiary_create_failed, Account number is missing : BIC/SWIFT is in invalid format : ","","",""
"Aseem Label","USA Tin","4SWAMIINTO5","PY10119023","","EUR","200.00","EUR","EUR-All.xlsx","Error",234.54,"27/07/2017 10:27:44","27/07/2017 10:28:00","27/07/2017 10:38:16","27/07/2017 10:38:16","","","PG ERROR","beneficiary_create_failed, Account number is missing : BIC/SWIFT is in invalid format : ","","",""
"Aseem Label","USA Tin","4SWAMIINTO6","PY10119024","","EUR","200.00","EUR","EUR-All.xlsx","Error",234.54,"27/07/2017 10:27:44","27/07/2017 10:28:00","27/07/2017 10:37:58","27/07/2017 10:37:58","","","PG ERROR","beneficiary_create_failed, Account number is missing : BIC/SWIFT is in invalid format : ","","",""
"Aseem Label","USA Tin","4SWAMIINTO7","PY10119025","","EUR","200.00","EUR","EUR-All.xlsx","Error",234.54,"27/07/2017 10:27:44","27/07/2017 10:28:00","27/07/2017 10:37:42","27/07/2017 10:37:43","","","PG ERROR","beneficiary_create_failed, Account number is missing : BIC/SWIFT is in invalid format : ","","",""
"Aseem Label","USA Tin","4SWAMIINTO8","PY10119026","","EUR","200.00","EUR","EUR-All.xlsx","Error",234.54,"27/07/2017 10:27:44","27/07/2017 10:28:00","27/07/2017 10:35:51","27/07/2017 10:35:51","","","PG ERROR","beneficiary_create_failed, Account number is missing : BIC/SWIFT is in invalid format : ","","",""
"Aseem Label","USA Tin","4SWAMIINTO9","PY10119027","","EUR","200.00","EUR","EUR-All.xlsx","Error",234.54,"27/07/2017 10:27:44","27/07/2017 10:28:00","27/07/2017 10:35:37","27/07/2017 10:35:37","","","PG ERROR","beneficiary_create_failed, Account number is missing : BIC/SWIFT is in invalid format : ","","",""
"Aseem Label","USA Tin","4SWAMIINTO10","PY10119028","","EUR","200.00","EUR","EUR-All.xlsx","Error",234.54,"27/07/2017 10:27:44","27/07/2017 10:28:00","27/07/2017 10:35:15","27/07/2017 10:35:15","","","PG ERROR","beneficiary_create_failed, Account number is missing : BIC/SWIFT is in invalid format : ","","",""
"Aseem Label","USA Tin","4SWAMIINTO11","PY10119029","","EUR","200.00","EUR","EUR-All.xlsx","Error",234.54,"27/07/2017 10:27:44","27/07/2017 10:28:00","27/07/2017 10:34:49","27/07/2017 10:34:49","","","PG ERROR","beneficiary_create_failed, Account number is missing : BIC/SWIFT is in invalid format : ","","",""
"Aseem Label","USA Tin","4SWAMIINTO12","PY10119030","","EUR","200.00","EUR","EUR-All.xlsx","Error",234.54,"27/07/2017 10:27:44","27/07/2017 10:28:00","27/07/2017 10:34:27","27/07/2017 10:34:27","","","PG ERROR","beneficiary_create_failed, Account number is missing : BIC/SWIFT is in invalid format : ","","",""
"Aseem Label","USA Tin","4SWAMIINTO13","PY10119031","","EUR","200.00","EUR","EUR-All.xlsx","Error",234.54,"27/07/2017 10:27:44","27/07/2017 10:28:00","27/07/2017 10:34:11","27/07/2017 10:34:11","","","PG ERROR","beneficiary_create_failed, Account number is missing : BIC/SWIFT is in invalid format : ","","",""
"Aseem Label","USA Tin","4SWAMIINTO14","PY10119032","","EUR","200.00","EUR","EUR-All.xlsx","Error",234.54,"27/07/2017 10:27:44","27/07/2017 10:28:00","27/07/2017 10:33:41","27/07/2017 10:33:41","","","PG ERROR","beneficiary_create_failed, Account number is missing : BIC/SWIFT is in invalid format : ","","",""
"Aseem Label","USA Tin","4SWAMIINTO2","PY10119020","","EUR","200.00","EUR","EUR-All.xlsx","Error",234.54,"27/07/2017 10:27:44","27/07/2017 10:28:00","27/07/2017 10:33:23","27/07/2017 10:33:23","","","PG ERROR","beneficiary_create_failed, Account number is missing : BIC/SWIFT is in invalid format : ","","",""
"Aseem Label","USA Tin","4SWAMIINTO1","PY10119019","","EUR","200.00","EUR","EUR-All.xlsx","Error",234.54,"27/07/2017 10:27:44","27/07/2017 10:28:00","27/07/2017 10:28:36","27/07/2017 10:28:36","","","PG ERROR","beneficiary_create_failed, Account number is missing : BIC/SWIFT is in invalid format : ","","",""
"Aseem Label","USA Tin","3SWAMIINTO1","PY10119005","","EUR","200.00","EUR","EUR-All.xlsx","Error",234.54,"27/07/2017 10:24:11","27/07/2017 10:24:26","27/07/2017 10:25:17","27/07/2017 10:25:17","","","PG ERROR","beneficiary_create_failed, Account number is missing : BIC/SWIFT is in invalid format : ","","",""
"Aseem Label","USA Tin","3SWAMIINTO14","PY10119018","","EUR","200.00","EUR","EUR-All.xlsx","Processing Transaction",234.54,"27/07/2017 10:24:12","27/07/2017 10:24:26","","","","",,,"","",""
"Aseem Label","USA Tin","3SWAMIINTO13","PY10119017","","EUR","200.00","EUR","EUR-All.xlsx","Processing Transaction",234.54,"27/07/2017 10:24:12","27/07/2017 10:24:26","","","","",,,"","",""
"Aseem Label","USA Tin","3SWAMIINTO12","PY10119016","","EUR","200.00","EUR","EUR-All.xlsx","Processing Transaction",234.54,"27/07/2017 10:24:12","27/07/2017 10:24:26","","","","",,,"","",""
"Aseem Label","USA Tin","3SWAMIINTO11","PY10119015","","EUR","200.00","EUR","EUR-All.xlsx","Processing Transaction",234.54,"27/07/2017 10:24:12","27/07/2017 10:24:26","","","","",,,"","",""
"Aseem Label","USA Tin","3SWAMIINTO10","PY10119014","","EUR","200.00","EUR","EUR-All.xlsx","Processing Transaction",234.54,"27/07/2017 10:24:12","27/07/2017 10:24:26","","","","",,,"","",""
"Aseem Label","USA Tin","3SWAMIINTO9","PY10119013","","EUR","200.00","EUR","EUR-All.xlsx","Processing Transaction",234.54,"27/07/2017 10:24:12","27/07/2017 10:24:26","","","","",,,"","",""
"Aseem Label","USA Tin","3SWAMIINTO8","PY10119012","","EUR","200.00","EUR","EUR-All.xlsx","Processing Transaction",234.54,"27/07/2017 10:24:12","27/07/2017 10:24:26","","","","",,,"","",""
"Aseem Label","USA Tin","3SWAMIINTO7","PY10119011","","EUR","200.00","EUR","EUR-All.xlsx","Processing Transaction",234.54,"27/07/2017 10:24:11","27/07/2017 10:24:26","","","","",,,"","",""
"Aseem Label","USA Tin","3SWAMIINTO6","PY10119010","","EUR","200.00","EUR","EUR-All.xlsx","Processing Transaction",234.54,"27/07/2017 10:24:11","27/07/2017 10:24:26","","","","",,,"","",""
"Aseem Label","USA Tin","3SWAMIINTO5","PY10119009","","EUR","200.00","EUR","EUR-All.xlsx","Processing Transaction",234.54,"27/07/2017 10:24:11","27/07/2017 10:24:26","","","","",,,"","",""
"Aseem Label","USA Tin","3SWAMIINTO4","PY10119008","","EUR","200.00","EUR","EUR-All.xlsx","Processing Transaction",234.54,"27/07/2017 10:24:11","27/07/2017 10:24:26","","","","",,,"","",""
"Aseem Label","USA Tin","3SWAMIINTO3","PY10119007","","EUR","200.00","EUR","EUR-All.xlsx","Processing Transaction",234.54,"27/07/2017 10:24:11","27/07/2017 10:24:26","","","","",,,"","",""
"Aseem Label","USA Tin","3SWAMIINTO2","PY10119006","","EUR","200.00","EUR","EUR-All.xlsx","Processing Transaction",234.54,"27/07/2017 10:24:11","27/07/2017 10:24:26","","","","",,,"","",""
"Aseem Label","USA Tin","2SWAMIINTO1","PY10118991","","EUR","200.00","EUR","EUR-All.xlsx","Error",234.54,"27/07/2017 10:21:19","27/07/2017 10:21:41","27/07/2017 10:22:18","27/07/2017 10:22:18","","","PG ERROR","beneficiary_create_failed, iban is in invalid format : ","","",""
"Aseem Label","USA Tin","2SWAMIINTO14","PY10119004","","EUR","200.00","EUR","EUR-All.xlsx","Processing Transaction",234.54,"27/07/2017 10:21:19","27/07/2017 10:21:41","","","","",,,"","",""
"Aseem Label","USA Tin","2SWAMIINTO13","PY10119003","","EUR","200.00","EUR","EUR-All.xlsx","Processing Transaction",234.54,"27/07/2017 10:21:19","27/07/2017 10:21:41","","","","",,,"","",""
"Aseem Label","USA Tin","2SWAMIINTO12","PY10119002","","EUR","200.00","EUR","EUR-All.xlsx","Processing Transaction",234.54,"27/07/2017 10:21:19","27/07/2017 10:21:41","","","","",,,"","",""
"Aseem Label","USA Tin","2SWAMIINTO11","PY10119001","","EUR","200.00","EUR","EUR-All.xlsx","Processing Transaction",234.54,"27/07/2017 10:21:19","27/07/2017 10:21:41","","","","",,,"","",""
"Aseem Label","USA Tin","2SWAMIINTO10","PY10119000","","EUR","200.00","EUR","EUR-All.xlsx","Processing Transaction",234.54,"27/07/2017 10:21:19","27/07/2017 10:21:41","","","","",,,"","",""
"Aseem Label","USA Tin","2SWAMIINTO9","PY10118999","","EUR","200.00","EUR","EUR-All.xlsx","Processing Transaction",234.54,"27/07/2017 10:21:19","27/07/2017 10:21:41","","","","",,,"","",""
"Aseem Label","USA Tin","2SWAMIINTO8","PY10118998","","EUR","200.00","EUR","EUR-All.xlsx","Processing Transaction",234.54,"27/07/2017 10:21:19","27/07/2017 10:21:41","","","","",,,"","",""
"Aseem Label","USA Tin","2SWAMIINTO7","PY10118997","","EUR","200.00","EUR","EUR-All.xlsx","Processing Transaction",234.54,"27/07/2017 10:21:19","27/07/2017 10:21:41","","","","",,,"","",""
"Aseem Label","USA Tin","2SWAMIINTO6","PY10118996","","EUR","200.00","EUR","EUR-All.xlsx","Processing Transaction",234.54,"27/07/2017 10:21:19","27/07/2017 10:21:41","","","","",,,"","",""
"Aseem Label","USA Tin","2SWAMIINTO5","PY10118995","","EUR","200.00","EUR","EUR-All.xlsx","Processing Transaction",234.54,"27/07/2017 10:21:19","27/07/2017 10:21:41","","","","",,,"","",""
"Aseem Label","USA Tin","2SWAMIINTO4","PY10118994","","EUR","200.00","EUR","EUR-All.xlsx","Processing Transaction",234.54,"27/07/2017 10:21:19","27/07/2017 10:21:41","","","","",,,"","",""
"Aseem Label","USA Tin","2SWAMIINTO3","PY10118993","","EUR","200.00","EUR","EUR-All.xlsx","Processing Transaction",234.54,"27/07/2017 10:21:19","27/07/2017 10:21:41","","","","",,,"","",""
"Aseem Label","USA Tin","2SWAMIINTO2","PY10118992","","EUR","200.00","EUR","EUR-All.xlsx","Processing Transaction",234.54,"27/07/2017 10:21:19","27/07/2017 10:21:41","","","","",,,"","",""
"Aseem Label","USA Tin","SWAMIINTO14","PY10118990","","EUR","200.00","EUR","EUR-All.xlsx","Error",,"27/07/2017 10:19:23","","","","","","DATA ERROR","Validation Error: ""Routing Code Value 1"": 123465, SWIFT should be alphanumeric with only 8 or 11 characters in length.<br>","","",""
"Aseem Label","USA Tin","SWAMIINTO13","PY10118989","","EUR","200.00","EUR","EUR-All.xlsx","Error",,"27/07/2017 10:19:23","","","","","","DATA ERROR","Validation Error: ""Routing Code Value 1"": 123464, SWIFT should be alphanumeric with only 8 or 11 characters in length.<br>","","",""
"Aseem Label","USA Tin","SWAMIINTO12","PY10118988","","EUR","200.00","EUR","EUR-All.xlsx","Error",,"27/07/2017 10:19:23","","","","","","DATA ERROR","Validation Error: ""Routing Code Value 1"": 123463, SWIFT should be alphanumeric with only 8 or 11 characters in length.<br>","","",""
"Aseem Label","USA Tin","SWAMIINTO11","PY10118987","","EUR","200.00","EUR","EUR-All.xlsx","Error",,"27/07/2017 10:19:23","","","","","","DATA ERROR","Validation Error: ""Routing Code Value 1"": 123462, SWIFT should be alphanumeric with only 8 or 11 characters in length.<br>","","",""
"Aseem Label","USA Tin","SWAMIINTO10","PY10118986","","EUR","200.00","EUR","EUR-All.xlsx","Error",,"27/07/2017 10:19:23","","","","","","DATA ERROR","Validation Error: ""Routing Code Value 1"": 123461, SWIFT should be alphanumeric with only 8 or 11 characters in length.<br>","","",""
"Aseem Label","USA Tin","SWAMIINTO9","PY10118985","","EUR","200.00","EUR","EUR-All.xlsx","Error",,"27/07/2017 10:19:23","","","","","","DATA ERROR","Validation Error: ""Routing Code Value 1"": 123460, SWIFT should be alphanumeric with only 8 or 11 characters in length.<br>","","",""
"Aseem Label","USA Tin","SWAMIINTO8","PY10118984","","EUR","200.00","EUR","EUR-All.xlsx","Error",,"27/07/2017 10:19:23","","","","","","DATA ERROR","Validation Error: ""Routing Code Value 1"": 123459, SWIFT should be alphanumeric with only 8 or 11 characters in length.<br>","","",""
"Aseem Label","USA Tin","SWAMIINTO7","PY10118983","","EUR","200.00","EUR","EUR-All.xlsx","Error",,"27/07/2017 10:19:23","","","","","","DATA ERROR","Validation Error: ""Routing Code Value 1"": 123458, SWIFT should be alphanumeric with only 8 or 11 characters in length.<br>","","",""
"Aseem Label","USA Tin","SWAMIINTO6","PY10118982","","EUR","200.00","EUR","EUR-All.xlsx","Error",,"27/07/2017 10:19:23","","","","","","DATA ERROR","Validation Error: ""Routing Code Value 1"": 123457, SWIFT should be alphanumeric with only 8 or 11 characters in length.<br>","","",""
"Aseem Label","USA Tin","SWAMIINTO5","PY10118981","","EUR","200.00","EUR","EUR-All.xlsx","Error",,"27/07/2017 10:19:23","","","","","","DATA ERROR","Validation Error: ""Routing Code Value 1"": 123456, SWIFT should be alphanumeric with only 8 or 11 characters in length.<br>","","",""
"Aseem Label","USA Tin","SWAMIINTO4","PY10118980","","EUR","200.00","EUR","EUR-All.xlsx","Approval Pending",,"27/07/2017 10:19:23","","","","","",,,"","",""
"Aseem Label","USA Tin","SWAMIINTO3","PY10118979","","EUR","200.00","EUR","EUR-All.xlsx","Error",,"27/07/2017 10:19:23","","","","","","DATA ERROR","Validation Error: ""Routing Code Value 1"": 123458, SWIFT should be alphanumeric with only 8 or 11 characters in length.<br>","","",""
"Aseem Label","USA Tin","SWAMIINTO2","PY10118978","","EUR","200.00","EUR","EUR-All.xlsx","Error",,"27/07/2017 10:19:23","","","","","","DATA ERROR","Validation Error: ""Routing Code Value 1"": 123457, SWIFT should be alphanumeric with only 8 or 11 characters in length.<br>","","",""
"Aseem Label","USA Tin","SWAMIINTO1","PY10118977","","EUR","200.00","EUR","EUR-All.xlsx","Error",,"27/07/2017 10:19:23","","","","","","DATA ERROR","Validation Error: ""Routing Code Value 1"": 123456, SWIFT should be alphanumeric with only 8 or 11 characters in length.<br>","","",""
"Aseem Label","USA Tin","SWAMI1","PY10118943","","EUR","200.00","EUR","EUR-All.xlsx","Error",234.54,"27/07/2017 10:13:47","27/07/2017 10:14:06","27/07/2017 10:14:53","27/07/2017 10:14:53","","","PG ERROR","beneficiary_create_failed, Account number is missing : BIC/SWIFT is in invalid format : ","","",""
"Aseem Label","USA Tin","SWAMI14","PY10118956","","EUR","200.00","EUR","EUR-All.xlsx","Processing Transaction",234.54,"27/07/2017 10:13:47","27/07/2017 10:14:06","","","","",,,"","",""
"Aseem Label","USA Tin","SWAMI13","PY10118955","","EUR","200.00","EUR","EUR-All.xlsx","Processing Transaction",234.54,"27/07/2017 10:13:47","27/07/2017 10:14:06","","","","",,,"","",""
"Aseem Label","USA Tin","SWAMI12","PY10118954","","EUR","200.00","EUR","EUR-All.xlsx","Processing Transaction",234.54,"27/07/2017 10:13:47","27/07/2017 10:14:06","","","","",,,"","",""
"Aseem Label","USA Tin","SWAMI11","PY10118953","","EUR","200.00","EUR","EUR-All.xlsx","Processing Transaction",234.54,"27/07/2017 10:13:47","27/07/2017 10:14:06","","","","",,,"","",""
"Aseem Label","USA Tin","SWAMI10","PY10118952","","EUR","200.00","EUR","EUR-All.xlsx","Processing Transaction",234.54,"27/07/2017 10:13:47","27/07/2017 10:14:06","","","","",,,"","",""
"Aseem Label","USA Tin","SWAMI9","PY10118951","","EUR","200.00","EUR","EUR-All.xlsx","Processing Transaction",234.54,"27/07/2017 10:13:47","27/07/2017 10:14:06","","","","",,,"","",""
"Aseem Label","USA Tin","SWAMI8","PY10118950","","EUR","200.00","EUR","EUR-All.xlsx","Processing Transaction",234.54,"27/07/2017 10:13:47","27/07/2017 10:14:06","","","","",,,"","",""
"Aseem Label","USA Tin","SWAMI7","PY10118949","","EUR","200.00","EUR","EUR-All.xlsx","Processing Transaction",234.54,"27/07/2017 10:13:47","27/07/2017 10:14:06","","","","",,,"","",""
"Aseem Label","USA Tin","SWAMI6","PY10118948","","EUR","200.00","EUR","EUR-All.xlsx","Processing Transaction",234.54,"27/07/2017 10:13:47","27/07/2017 10:14:06","","","","",,,"","",""
"Aseem Label","USA Tin","SWAMI5","PY10118947","","EUR","200.00","EUR","EUR-All.xlsx","Processing Transaction",234.54,"27/07/2017 10:13:47","27/07/2017 10:14:06","","","","",,,"","",""
"Aseem Label","USA Tin","SWAMI4","PY10118946","","EUR","200.00","EUR","EUR-All.xlsx","Processing Transaction",234.54,"27/07/2017 10:13:47","27/07/2017 10:14:06","","","","",,,"","",""
"Aseem Label","USA Tin","SWAMI3","PY10118945","","EUR","200.00","EUR","EUR-All.xlsx","Processing Transaction",234.54,"27/07/2017 10:13:47","27/07/2017 10:14:06","","","","",,,"","",""
